latitude,longitude,installation_year,age,pressure,depth,prev_repairs,last_inspection,traffic_load,elevation,ground_movement_risk,water_proximity,temp_fluctuation,leak_count,days_since_last_leak,avg_repair_cost,had_leak_recently,material_Asbestos Cement,material_Cast Iron,material_Ductile Iron,material_HDPE,material_PVC,material_Steel,diameter_large (14-24),diameter_medium (8-12),diameter_small (2-6),diameter_very large (>24),soil_type_Clay,soil_type_Loam,soil_type_Rocky,soil_type_Sandy,soil_type_Silt
33.051794315597895,-115.40515046936318,1936,87,9.92,6.06,3,686,3,104.76142121192711,9.007664599879405,3184.0402943521444,34.91281323925389,0.0,1825.0,0.0,0,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
37.85123806953263,-120.45312672333088,1952,71,89.82,3.91,4,401,10,843.1475242601502,0.2913782654487118,2074.12712420855,17.937682437459458,0.0,1825.0,0.0,0,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False
36.77266426701277,-120.35092252198095,1984,39,52.59,7.83,2,64,9,149.11786119996327,9.287695812744147,2079.3001186594665,45.223173352478234,0.0,1825.0,0.0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
33.60075606548873,-115.43741402830626,1986,37,25.3,5.36,0,642,1,634.0364785675895,8.383045970510366,2813.739389069136,13.482058598079934,1.0,212.0,1979.39,0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
39.356430451066295,-122.02215834263596,1935,88,129.81,3.7,8,1012,6,919.4328908788983,0.7762771117870892,3214.811131199349,36.067831617223945,0.0,1825.0,0.0,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True
35.08525636915404,-117.69925373431569,1932,91,24.54,4.22,3,441,4,810.1385519919892,3.0626221232021944,1808.9648085968263,32.84515190180095,0.0,1825.0,0.0,0,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False
34.84532259696671,-117.18880513518222,1943,80,54.36,5.76,2,400,6,713.4034258731297,2.3161189128288537,594.4020706466802,28.884695047425794,0.0,1825.0,0.0,0,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
35.99393976083291,-117.86078877876741,1982,41,69.58,6.39,0,146,4,382.1337670512629,4.895354518378285,4923.374753835806,48.64159782339748,0.0,1825.0,0.0,0,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
38.629141508889774,-122.66915249544759,1937,86,73.04,5.65,4,8,9,399.2559537835493,1.4770814886632977,4360.775649840523,41.513796333792534,0.0,1825.0,0.0,0,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
35.81749095882028,-116.87746537186248,1963,60,51.87,3.05,2,877,2,963.3350241410308,0.9067665086203658,619.2289391924538,37.05656355747041,0.0,1825.0,0.0,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
37.11333065906915,-119.79154649864441,1950,73,28.85,5.54,6,797,1,31.467290714254915,1.0210979240994034,511.31529403564747,39.592346615775526,0.0,1825.0,0.0,0,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
37.98058690395041,-119.32856421490193,1963,60,43.76,7.57,1,279,1,713.3651270584355,0.9535214711224105,3739.6437974478063,39.6264262649875,0.0,1825.0,0.0,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
37.751267184937156,-118.4909290737062,1937,86,74.58,3.35,3,489,2,579.3212837486495,9.166869505199923,1189.774959779773,31.903859593457593,0.0,1825.0,0.0,0,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
35.56423226026671,-115.58896715329092,1948,75,18.83,3.03,2,399,3,773.5321645667285,7.333534363861784,2921.58092121894,43.028361426829846,0.0,1825.0,0.0,0,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
35.71095399008959,-120.55637899728059,1951,72,37.2,5.61,3,876,4,659.6244852541273,5.290432304213763,4925.2149615940225,11.332534376510127,0.0,1825.0,0.0,0,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
36.40786209803845,-117.15512178694446,1981,42,15.52,3.4,2,633,1,421.7397202755947,2.0874281322026844,12.792676146538007,8.126367504432151,0.0,1825.0,0.0,0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
